frame,time_s,z_m,vz_mps,F_brake_N,P_recov_W,E_cum_J,wheel_deg
88,0.725,14.243482,-1.22342,4892.87,4039.91,2227.15,108.36
89,0.733333,14.233286,-1.223608,4893.68,4041.24,2260.83,109.82
90,0.741667,14.223087,-1.223785,4894.43,4042.49,2294.52,111.28
91,0.75,14.212888,-1.223949,4895.14,4043.65,2328.21,112.75
92,0.758333,14.202687,-1.224102,4895.8,4044.74,2361.92,114.21
93,0.766667,14.192485,-1.224246,4896.41,4045.75,2395.64,115.67
94,0.775,14.182282,-1.224379,4896.98,4046.7,2429.36,117.13
95,0.783333,14.172078,-1.224504,4897.52,4047.58,2463.09,118.59
96,0.791667,14.161872,-1.22462,4898.02,4048.41,2496.82,120.05
97,0.8,14.151666,-1.224729,4898.48,4049.18,2530.57,121.51
98,0.808333,14.141459,-1.22483,4898.92,4049.89,2564.32,122.98
99,0.816667,14.131252,-1.224925,4899.32,4050.57,2598.07,124.44
100,0.825,14.121043,-1.225013,4899.7,4051.19,2631.83,125.9
101,0.833333,14.110834,-1.225096,4900.05,4051.78,2665.6,127.36
102,0.841667,14.100624,-1.225173,4900.38,4052.32,2699.37,128.83
103,0.85,14.090414,-1.225245,4900.69,4052.83,2733.14,130.29
104,0.858333,14.080203,-1.225312,4900.98,4053.31,2766.92,131.75
105,0.866667,14.069992,-1.225374,4901.25,4053.75,2800.7,133.21
106,0.875,14.05978,-1.225433,4901.5,4054.16,2834.48,134.68
107,0.883333,14.049567,-1.225487,4901.73,4054.55,2868.27,136.14
108,0.891667,14.039354,-1.225538,4901.95,4054.91,2902.06,137.6
109,0.9,14.029141,-1.225585,4902.15,4055.25,2935.85,139.07
110,0.908333,14.018928,-1.22563,4902.34,4055.56,2969.65,140.53
111,0.916667,14.008714,-1.225671,4902.52,4055.85,3003.45,141.99
112,0.925,13.998499,-1.22571,4902.68,4056.13,3037.25,143.45
113,0.933333,13.988285,-1.225746,4902.84,4056.38,3071.05,144.92
114,0.941667,13.97807,-1.225779,4902.98,4056.62,3104.86,146.38
115,0.95,13.967855,-1.225811,4903.12,4056.84,3138.67,147.84
116,0.958333,13.95764,-1.22584,4903.24,4057.05,3172.48,149.31
117,0.966667,13.947424,-1.225867,4903.36,4057.25,3206.29,150.77
118,0.975,13.937208,-1.225893,4903.47,4057.43,3240.1,152.23
119,0.983333,13.926992,-1.225917,4903.57,4057.6,3273.91,153.7
120,0.991667,13.916776,-1.225939,4903.67,4057.75,3307.73,155.16
121,1.0,13.90656,-1.22596,4903.76,4057.9,3341.54,156.62
122,1.008333,13.896343,-1.225979,4903.84,4058.04,3375.36,158.09
123,1.016667,13.886127,-1.225997,4903.92,4058.17,3409.18,159.55
124,1.025,13.87591,-1.226014,4903.99,4058.29,3443.0,161.01
125,1.033333,13.865693,-1.22603,4904.06,4058.4,3476.82,162.48
126,1.041667,13.855476,-1.226044,4904.12,4058.5,3510.64,163.94
127,1.05,13.845259,-1.226058,4904.18,4058.6,3544.46,165.4
128,1.058333,13.835042,-1.226071,4904.23,4058.69,3578.28,166.87
129,1.066667,13.824824,-1.226083,4904.28,4058.77,3612.1,168.33
